carrefour-es;la despensa dulce y desayuno mermeladas membrillos y compotas;Mermelada de melocotón categoría extra Carrefour sin gluten 650 g.;1.36;2.09;g
carrefour-es;bebidas aguas y zumos zumos no refrigerados;Zumo de melocotón, manzana y uva Carrefour pack de 6 briks de 20 cl.;0.87;0.72;cl
carrefour-es;bebe alimentacion infantil tarritos y platos preparados;Tarrito de melocotón, plátano y pera desde 6 meses ecológico Carrefour Baby Bio sin gluten 200 g.;1.26;6.3;g
carrefour-es;la despensa yogures y postres yogures liquidos;Yogur líquido con avena sin azúcar añadido Danone Danacol pack de 6 unidades de 100 g.;3.69;6.15;g
dia-es;perfumeria e higiene depilacion maquinillas y recambios;WILKINSON Sword extra beauty 2 maquinilla desechable mujer bolsa 5 uds;2.79;0.4;ud
mercadona-es;bodega cerveza;Cerveza reserva;0.66;2.0;l
dia-es;mascotas accesorios accesorios;DIXIE pipeta antiparasitaria para perros medianos blíster 3 uds;12.99;9694.03;ud
mercadona-es;aceite especias y salsas otras salsas;Tomate frito Hacendado;1.0;0.83;kg
carrefour-es;la despensa alimentacion semillas;Semillas de chía San Blas 350 g.;2.7;7.71;g
carrefour-es;mascotas pajaros pienso para pajaros;Menú premium para canarios Vitakraft 1Kg;2.5;2.5;kg
mercadona-es;panaderia y pasteleria tartas y pasteles;Tarta infantil El Rey León congelada;7.5;10.0;kg
carrefour-es;la despensa conservas sopas y precocinados conservas de vegetales;Acelgas Ybarra 425 g.;1.18;2.78;g
carrefour-es;bebidas cerveza todas las cervezas;Cerveza Cruzcampo Pilsen pack de 24 botellas de 25 cl.;9.45;1.57;cl
mercadona-es;marisco y pescado pescado en bandeja;Escalopines de salmón sin espinas;8.0;20.0;kg
carrefour-es;bebidas vinos tinto;Vino D.O. Somontano tinto reserva Laus 75 cl.;9.4;9.4;cl
carrefour-es;el mercado panaderia bolleria y pasteleria magdalenas dulces y bollos;Berlina Fondant Donuts 204 g.;1.99;9.75;g
carrefour-es;la despensa dulce y desayuno miel;Miel de azhar Mellarius 500 g.;7.65;15.3;g
carrefour-es;la despensa conservas sopas y precocinados bio en conservas sopas y precocinados;Seitán tofu ecológico Carrefour Bio 250 g.;2.29;9.16;g
carrefour-es;la despensa conservas sopas y precocinados croquetas y rebozados;Anillas a la romana Carrefour 500 g.;1.97;3.94;g
mercadona-es;zumos naranja;Bebida Florida Hacendado;1.0;0.5;l
carrefour-es;el mercado charcuteria chorizo lomo y otros;Chorizo casero extra sarta Palacios 250 g.;3.46;13.84;g
dia-es;desayuno dulces y pan pan pan aperitivo;DIA DELICIOUS mini tostas con pasas bolsa 125 gr;1.65;13.2;g
dia-es;bebidas refrescos refrigerados;SIMON LIFE naranja botella 1.5 l;1.85;1.23;l
carrefour-es;la despensa dulce y desayuno chocolates turrones y bombones;Barrita de chocolate con galleta y caramelo 5 ud.;1.38;4.76;ud
dia-es;congelados y helados platos precocinados otros precocinados;DIA palitos de mozzarella bolsa 400 gr;2.99;7.48;g
carrefour-es;la despensa alimentacion salsas y tomate frito;Salsa picante Valentina envase 370 g.;2.05;5.54;g
mercadona-es;conservas caldos y cremas atun y otras conservas de pescado;Atún en aceite de girasol Hacendado;5.3;8.15;kg
carrefour-es;perfumeria e higiene cabello champus;Champú reparador para cabellos dañados Total Repair 5 L'Oréal-Elvive 370 ml.;3.76;1.02;ml
carrefour-es;parafarmacia cuidado corporal desodorantes;Desodorante fresh vaporizador Sebamed 75 ml.;10.65;1.42;ml
carrefour-es;bebidas refrescos colas;Refresco de cola Carrefour zero sin cafeína lata 25 cl.;0.24;3.0;cl
dia-es;platos preparados pescado pescado;GIRALDO bacalao al pil pil bandeja 300 gr;3.99;13.3;g
carrefour-es;limpieza y hogar papeleria colorear;Rotuladores Bic Kid Couleur Surtidos 18+6 uds;5.9;0.33;ud
dia-es;drogueria y limpieza celulosa servilletas de papel;FOXY servilletas decoradas tamaño 40 x 40 cm paquete 45 uds;1.59;1.59;ud
mercadona-es;agua y refrescos refresco de naranja y de limon;Refresco lima limón Sprite;3.6;1.36;l
carrefour-es;bebidas licores y cremas licores y orujo;Aguardiente de orujo El Afilador 70 cl.;10.1;14.43;cl
carrefour-es;el mercado panaderia bolleria y pasteleria pan de molde tostado y picos;Regañás con aceitunas y orégano Abuelobread sin gluten y sin lactosa 50 g.;1.07;21.4;g
carrefour-es;la despensa cestas y lotes perfumeria para regalar;Cesta baño Aromatherapy Gloss: Gel de ducha 300 ml, loción 300 ml, exfoliante 100 ml, bombas baño 300 g, vela 1 ud y esponja ;16.5;16.5;ml
carrefour-es;bebidas vinos tinto;Vino tinto Solaz V.T.Castilla 3 l.;9.4;3.13;l
mercadona-es;aceite especias y salsas mayonesa ketchup y mostaza;Mayonesa Hacendado;0.8;2.67;l
dia-es;perfumeria e higiene cuidado pies crema;SCHOLL Gel activ plantillas uso diario para mujer talla 35.5 - 40.5;18.89;18.89;ud
dia-es;desayuno dulces y pan infusiones menta poleo;DIA infusión menta poleo estuche 25 bolsitas;0.45;0.45;ud
mercadona-es;cuidado facial y corporal higiene intima;Gel de higiene íntima Deliplus;1.3;0.26;ml
mercadona-es;cuidado del cabello peines y accesorios;Cepillo cabello térmico iónico Deliplus 25 mm;3.0;3.0;mm
carrefour-es;la despensa dulce y desayuno cremas de cacao avellana y cacahuete;Crema de cacao con leche y avellanas Carrefour 750 g.;2.39;3.19;g
mercadona-es;congelados helados;Helado sándwich de nata Hacendado;1.5;1.88;l
carrefour-es;la despensa dulce y desayuno cremas de cacao avellana y cacahuete;Crema de cacao con avellanas Nutella sin gluten 200 g.;2.1;10.5;kg
dia-es;desayuno dulces y pan preparacion de postres decoracion y complementos para postres;DR. OETKER aromatizante naranjas de valencia botella 35 ml;3.89;111.14;ml
mercadona-es;bebe alimentacion infantil;Papilla zanahorias baby con ternera Hero baby +6 meses;0.99;4.21;kg
carrefour-es;el mercado quesos rallados;Queso rallado cheddar Margui 200 g.;1.68;8.4;g
carrefour-es;la despensa alimentacion aceites y vinagres;Aceite de oliva virgen extra De Nuestra Tierra D.O Sierra Mágina - Jaén 500 ml.;4.99;9.98;ml
dia-es;congelados y helados helados conos;CORNETTO Crush helado cono chocolate blanco XXL caja 4 uds 240 gr;3.99;16.63;g
carrefour-es;parafarmacia cuidado e higiene facial cremas faciales;Fluido facial hidratante matificante DermoPure Eucerin 50 ml.;17.45;34.9;ml
dia-es;alimentacion sal especias y sazonadores especias;DANI ajo molida frasco 55 gr;1.45;26.36;g
carrefour-es;bebidas aguas y zumos zumos no refrigerados;Zumo de naranja Don Simón sin pulpa brik 1 l.;1.63;1.63;l
carrefour-es;bebidas refrescos isotonicas;Aquarius sabor limón lata 33 cl.;0.78;2.36;cl
mercadona-es;carne aves y pollo;Cuartos traseros familiar de pollo;3.5;2.19;kg
dia-es;charcuteria y quesos salchichas salchichas;WUDY salchichas con queso envase 150 g;0.95;6.33;g
mercadona-es;postres y yogures yogures liquidos;Bebida láctea natural azucarada Hacendado;1.16;1.16;g
carrefour-es;la despensa dulce y desayuno mermeladas membrillos y compotas;Mermelada de melocotón La Vieja Fábrica 350 g.;1.99;5.69;g
carrefour-es;perfumeria e higiene boca y sonrisa dentifricos;Dentífrico blanqueador Smile for good Colgate 75 ml.;3.7;4.93;ml
dia-es;drogueria y limpieza accesorios limpieza guantes;DIA guantes desechables de látex talla 8 bolsa 10 uds;1.65;0.16;ud
carrefour-es;el mercado charcuteria foie pates y sobrasadas;Bloque de hígado de pato blister Martiko 130 g.;7.6;58.46;g
carrefour-es;parafarmacia nutricion y dietetica tratamientos naturales;Complemento alimenticio próstrata Sanon 60 cápsulas.;5.25;14.58;g
dia-es;bebidas refrescos refrigerados;STARBUCKS café capuccino vaso 220 ml;1.69;7.68;ml
carrefour-es;perfumeria e higiene cosmetica rostro;Sérum ácido hialurónico revitalift filler L'Oréal 30 ml.;21.75;72.5;ml
carrefour-es;la despensa conservas sopas y precocinados caldos sopas y pure;Caldo de pollo Carrefour sin gluten brik 1 l.;0.82;0.82;l
carrefour-es;limpieza y hogar cuidado de la ropa limpiadores y antical para lavadora;Pastillas antical para lavadoras 3 en 1 en Calgon 45 ud.;18.7;0.42;ud
carrefour-es;perfumeria e higiene cosmetica rostro;Maletin de maquillaje Camouflage Perfect Traveller Magic Studio IDC 1 ud.;14.0;14.0;ud
dia-es;desayuno dulces y pan galletas rellenas;FILIPINOS roscos de galleta con chocolate blanco paquete 135 grs;1.0;7.41;g
carrefour-es;la despensa dulce y desayuno cafes;Café espresso en cápsulas Nescafé Dolce Gusto 16 unidades de 6 g.;4.25;44.27;g
carrefour-es;la despensa dulce y desayuno cafes;Café sontuoso en cápsulas L'Or Espresso compatible con Nespresso 20 unidades de 5,2 g.;6.35;61.06;g
dia-es;drogueria y limpieza accesorios limpieza fregonas;CISNE fregona tiras microfibra bolsa 1 ud;4.59;4.59;ud
carrefour-es;limpieza y hogar cuidado de la ropa detergentes;Detergente en polvo con jabón de Marsella Carrefour 50 cacitos;4.9;0.1;kg
dia-es;alimentacion legumbres garbanzos;DIA VEGECAMPO garbanzo pedrosillano paquete 1 Kg;2.39;2.39;kg
carrefour-es;la despensa cestas y lotes cestas de navidad;Lote de Navidad nº 30;32.0;32.0;ud
carrefour-es;la despensa alimentacion especias y sazonadores;Canela en rama Carmencita 5 g.;0.66;132.0;g
dia-es;desayuno dulces y pan cafe en grano;DIA café natural en grano paquete 500 gr;3.49;6.98;g
mercadona-es;fruta y verdura fruta;Manzana reineta;0.46;2.19;kg
mercadona-es;aperitivos aceitunas y encurtidos;Aceitunas rellenas de pimiento Hacendado;1.6;10.67;kg
carrefour-es;el mercado la cocina de carrefour sushi del dia;Nigiri de salmón Sushi Daily;8.7;8.7;ud
dia-es;bebidas vinos tintos castillala mancha;LOS MOLINOS vino tinto crianza DO Valdepeñas botella 75 cl;2.25;3.0;cl
carrefour-es;limpieza y hogar bazar automovil;Alfombra moqueta Lemans Dream Car - 4 piezas con talonera termosellada;6.95;6.95;ud
dia-es;lacteos y huevos yogures yogur sabores;DIA yogur fresa-plátano pack 8 unidades 125 g;0.99;0.99;g
carrefour-es;el mercado panaderia bolleria y pasteleria pan de molde tostado y picos;Pan de molde sin corteza Carrefour 820 g.;1.64;2.0;g
dia-es;desayuno dulces y pan infusiones manzanilla;DIA manzanilla estuche 25 bolsitas;0.39;0.39;ud
carrefour-es;bebidas aguas y zumos zumos no refrigerados;Néctar de piña Juver Selección botella 85 cl.;2.0;2.35;cl
carrefour-es;la despensa dulce y desayuno chocolates turrones y bombones;Chocolate con leche Milka pack de 4 tabletas de 100 g.;2.82;7.05;g
carrefour-es;limpieza y hogar productos para cocina aditivos y limpiamaquinas;Limpia máquinas duo Somat 3 ud.;2.5;0.83;ud
dia-es;perfumeria e higiene limpieza facial leche y tonicos limpiadores;GARNIER Skinactive gel micelar todo en uno piel sensible dosificador 200 ml;4.19;20.95;ml
carrefour-es;la despensa alimentacion vitaminas y complementos;Complemento alimenticio Lecitina de soja Vive Plus 250 g.;4.2;16.8;g
mercadona-es;limpieza y hogar menaje y conservacion de alimentos;Film transparente Bosque Verde;0.95;0.01;m
dia-es;lacteos y huevos postres gelatina;DIA postre gelificado de fresa, limón y multifrutas pack 6 unidades 100 gr;0.85;1.42;g
dia-es;perfumeria e higiene afeitado espuma gel y crema afeitar;BONTE espuma de afeitar piel sensible spray 250 ml;0.99;3.96;ml
mercadona-es;panaderia y pasteleria pan de horno;Panecillo;0.1;0.22;g
carrefour-es;perfumeria e higiene cabello tinte;Tinte intense color cream 3.65 castaño medio chocolate Palette 1 ud.;3.68;3.68;ud
carrefour-es;limpieza y hogar productos para cocina lavavajillas a maquina;Lavavajillas a máquina en pastillas quantum max Finish Powerball 36 ud.;11.99;0.33;ud
dia-es;alimentacion salsas mayonesa;DIA mayonesa frasco 450 ml;0.99;2.2;ml
mercadona-es;bodega vino tinto;Vino tinto D.O Valencia L'Antigón;0.99;1.32;l
carrefour-es;parafarmacia cuidado corporal jabones y geles;Emulsión para baño sin jabón piel sensible avena Multidermol 750 ml.;8.55;1.14;ml
carrefour-es;el mercado la cocina de carrefour fritos;Viruta de patata 250 g;3.3;13.2;kg
mercadona-es;carne aves y pollo;Pollo rural entero;6.46;3.59;kg
mercadona-es;marisco y pescado pescado congelado;Anillas de pota Argentina Hacendado congeladas;4.6;12.78;kg
dia-es;desayuno dulces y pan galletas con chocolate;DIA chocoaros blancos paquete 150 grs;0.59;3.93;g
mercadona-es;marisco y pescado pescado congelado;Lomos de salmón de Noruega sin piel y sin espinas Hacendado congelado;4.65;18.6;kg
carrefour-es;el mercado panaderia bolleria y pasteleria magdalenas dulces y bollos;Croissants rellenos de crema de cacao Carrefour 360 g.;1.13;3.14;g
carrefour-es;limpieza y hogar cuidado de la ropa detergentes;Detergente líquido jabón de marsella y flor de naranjo Carrefour 75 lavados.;5.15;0.07;ml
dia-es;bebe higiene toallitas;DODOT Sensitive toallitas para bebés pack 216 uds;7.99;7.99;ud
carrefour-es;bebidas refrescos energeticas;Monster Green bebida energética pack de 4 latas 50 cl.;3.9;1.95;cl
mercadona-es;cuidado facial y corporal perfume y colonia;Eau de toilette hombre Victorio & Lucchino Nº 3 Seducción magnética;9.9;6.6;ml
carrefour-es;la despensa conservas sopas y precocinados croquetas y rebozados;Peskitos de salmón empanados Pescanova 300 g.;2.6;8.67;g
carrefour-es;bebidas vinos blanco;Vino blanco Frizzante Lemon Sandara 75 cl.;4.65;4.65;cl
dia-es;bebidas gaseosas y sodas gaseosas y sodas;LA CASERA gaseosa botella 1.5 lt;0.95;0.63;l
carrefour-es;el mercado la cocina de carrefour platos de carne y pescado;Paleta asada finas hierbas Benaojan 3,5 kg aprox;20.96;5.99;kg
carrefour-es;bebidas vinos tinto;Vino tinto selección Borsao D.O. Campo de Borja 75 cl.;4.8;4.8;cl
carrefour-es;la despensa dulce y desayuno dulces y golosinas;Chicles sabor hierbabuena White Orbit 14 ud.;1.54;1.54;ud
carrefour-es;parafarmacia botiquin lentillas y sueros;Liquido lentillas ecológico True Bausch + Lomb 300 ml.;10.8;3.6;ml
dia-es;alimentacion patatas fritas aperitivos y frutos secos frutos secos;Nuez fresca granel;5.99;5.99;g
carrefour-es;perfumeria e higiene cabello cuidado y tratamientos del cabello;Acondicionador violeta matizador para pelo con mechas, rubio o grises L'Oréal-Elvive 150 ml.;4.8;3.2;ml
mercadona-es;bebe biberon chupete y menaje;Babero mediano de 4 a 12 meses Deliplus;4.2;2.1;ud
mercadona-es;cuidado facial y corporal neceseres;Neceser pez mediano Marie Antoinette;6.5;6.5;ud
dia-es;perfumeria e higiene gel de bano sal y espuma de bano;BABYSMILE esponja natural bebe bolsa 1 unidad;2.86;2.86;ud
carrefour-es;la despensa alimentacion salsas y tomate frito;Salsa de soja Carrefour botella 125 ml.;0.74;5.92;ml
dia-es;drogueria y limpieza celulosa servilletas de papel;DIA servilletas color 2 capas 33x33 cm paquete 50 uds;1.1;1.1;ud
carrefour-es;la despensa cestas y lotes perfumeria para regalar;Estuche Titto Bluni Uomo: Colonia 75 ml, After Shave 75 ml y Shower Gel 75 ml;11.5;11.5;ml
mercadona-es;panaderia y pasteleria bolleria envasada;Gofres con chocolate Punto Gofre;1.39;4.96;kg
carrefour-es;bebidas vinos tinto;Vino tinto reserva Carrizal D.O.Ca Rioja 75 cl.;5.2;5.2;cl
carrefour-es;la despensa yogures y postres bio en yogures y postres;Yogur natural de leche de oveja ecológico Carrefour Bio 420 g.;2.85;6.35;g
carrefour-es;bebidas alcoholes whisky y bourbon;Whisky Tamnavulin escocés 70 cl.;21.35;30.5;cl
mercadona-es;congelados marisco;Tronquitos de surimi Pescanova ultracongelados;3.85;3.21;kg
carrefour-es;la despensa dulce y desayuno cereales y barritas;Cereales sin azúcares añadidos ecológicos Corn Flakes Carrefour Bio 500 g.;2.29;4.58;g
dia-es;drogueria y limpieza limpiadores para el hogar limpiador multiusos;ESTRELLA limpiador oxígeno activo botella 1.25 lt;2.59;2.07;l
carrefour-es;bebidas vinos vinos internacionales;Mionetto Blanco;8.25;8.25;ud
carrefour-es;bebidas vinos tinto;Vino D.O. Ribera del Duero tinto Altos de Tamarón 75 cl.;3.75;3.75;cl
carrefour-es;el mercado verduras y hortalizas setas y hongos;Seta Carrefour  500 g aprox;3.25;6.5;g
mercadona-es;bodega vino tinto;Vino tinto D.O La Mancha Estola crianza;3.1;4.13;l
carrefour-es;el mercado charcuteria chorizo lomo y otros;Chorizo casero extra sarta Palacios 250 g.;3.21;12.84;g
mercadona-es;bodega licores;Ginebra London dry Kingerly & Sons;5.95;5.95;l
carrefour-es;limpieza y hogar ambientadores electricos;Ambientador eléctrico Lirio Luna y Satén de Seda recambio Air Wick 1 ud.;3.6;3.6;ud
carrefour-es;la despensa alimentacion aceites y vinagres;Vinagre balsámico de módena Carrefour 500 ml.;1.84;3.68;ml
carrefour-es;limpieza y hogar papeleria marcadores;Estuche con 8 Marcadores STABILO BOSS - Pastel;9.4;1.17;ud
carrefour-es;el mercado quesos gouda y emmental;Queso emmental Babybel pack de 6 unidades de 20g. ;2.3;19.17;g
mercadona-es;maquillaje labios;Pintalabios larga duración No transfer Deliplus 02 rojo;4.5;4.5;ud
carrefour-es;la despensa alimentacion nutricion deportiva;Gel energético sabor naranja Victory Endurance 40 g.;1.16;29.0;g
mercadona-es;marisco y pescado pescado fresco;Calamar pequeño limpio descongelado sin barquilla y sin tripa;0.18;5.95;kg
carrefour-es;limpieza y hogar productos para bano desatascadores y limpia tuberias;Gel desatascador turbo tuberias Carrefour 500 ml.;1.6;3.2;ml
dia-es;alimentacion conservas pescado sardinas y sardinillas;DIA sardinillas en aceite de girasol al limón 6/10 piezas lata 62 gr;0.6;9.68;g
carrefour-es;limpieza y hogar productos para cocina lavavajillas a maquina;Lavavajillas máquina Todo en 1 aroma limón en pastillas Carrefour 60 ud.;6.1;0.1;ud
carrefour-es;la despensa cestas y lotes perfumeria para regalar;Estuche Nike Ultra Green Man: Colonia 100 ml y Desodorante 200 ml;9.95;9.95;ml
carrefour-es;bebidas cava y champagne todos los cavas y champagnes;Freixenet Carta Nevada Semiseco Cava;4.45;4.45;ud
carrefour-es;bebidas licores y cremas cremas;Baileys Almande Cremas;21.9;31.29;l
carrefour-es;bebe alimentacion infantil bio en alimentacion infantil;Tarrito de garbanzos con verduritas desde 8 meses ecológico Carrefour Baby Bio pack de 2 unidades de 200 g;2.3;5.75;g
carrefour-es;bebidas refrescos sabores con gas;Kas de limón zero lata de 33 cl.;0.49;1.48;cl
carrefour-es;limpieza y hogar utensilios de limpieza otros utiles;Limpia Cristales de Caucho y Polipropileno Carrefour - Verde;2.3;2.3;ud
mercadona-es;bebe higiene y cuidado;Bálsamo facial infantil pieles atópicas Deliplus;3.2;4.27;ml
dia-es;bebe higiene toallitas;BONTE toallitas para bebés con tendencia atópica envase 64 uds;1.79;1.79;ud
dia-es;drogueria y limpieza limpiadores para el hogar limpia inodoro wc;TENSO Pro gel limpiador wc 4 en 1 con lejía botella 1 lt;1.99;1.99;l
carrefour-es;limpieza y hogar menaje sartenes paelleras y wok fondue parrillas grill accesorios;Sartén Aluminio TEFAL Titanium 28 cm - Negro;40.0;40.0;cm
carrefour-es;el mercado quesos todos los quesos;Queso de untar original Philadelphia 350 g;2.7;7.71;g
carrefour-es;la despensa lacteos batidos y horchatas;Batido de chocolate Puleva sin lactosa pack de 6 briks de 200 ml.;2.1;1.75;ml
carrefour-es;el mercado pescaderia bacalao y salazones;Bacalao skrei desalado desmigado Calidad y Origen Carrefour 250 g;5.75;23.0;g
carrefour-es;mascotas gatos pienso para gatos;Brekkies Pienso para Gato  Adultos salmón, atún y verdura 4 kg;7.95;1.99;kg
carrefour-es;bebidas alcoholes ron;Ron Cacique Añejo Superior 1 l.;15.22;15.22;l
carrefour-es;la despensa dulce y desayuno cacaos y cereales solubles;Cacao en cápsulas Nesquik Nescafe Dolce Gusto 16 unidades de 16 g.;4.25;16.6;g
carrefour-es;el mercado carniceria bio en carniceria;Preparado de carne picada de pollo ecológica Carrefour Bio 320 g;5.3;16.56;g
dia-es;perfumeria e higiene cuidado del cabello mascarillas cabello;PANTENE Pro-v ampollas rescate 1 min tratamiento intensivo caja 3 ampollas;5.55;1.85;ud
carrefour-es;el mercado pescaderia bio en pescaderia;Langostino crudo ecológico congelado  Pesca Facil 600g ;7.95;15.9;g
mercadona-es;congelados pizzas;Pizza estacione rellena de queso Hacendado ultracongelada;2.99;5.54;kg
carrefour-es;la despensa yogures y postres yogur natural y sabores;Yogur de limón Danone sin gluten pack de 4 unidades de 120 g.;1.0;2.0;g
mercadona-es;conservas caldos y cremas atun y otras conservas de pescado;Sardinillas al limón Hacendado en aceite de girasol;1.21;9.31;kg
carrefour-es;perfumeria e higiene bano e higiene corporal desodorantes;Desodorante en spray Aqua Fa 200 ml.;3.45;23.0;ml
carrefour-es;la despensa alimentacion salsas y tomate frito;Tomate frito ecológico Carrefour Bio 300 g.;0.99;3.3;g
carrefour-es;el mercado carniceria vacuno;Osobuco de añojo Calidad y Origen Carrefour 700 g aprox;5.67;8.1;g
dia-es;perfumeria e higiene cuidado del cabello mascarillas cabello;FRUCTIS aceite milagroso dosificador 150 ml;6.89;45.93;ml
carrefour-es;el mercado charcuteria jamon serrano e iberico pieza;Jamón serrano curado pieza de 7 kg aprox;49.0;7.0;kg
mercadona-es;cuidado facial y corporal higiene intima;Tampones super Tampax;3.2;0.18;ud
mercadona-es;charcuteria y quesos bacon y salchichas;Salchichas cocidas bocata Hacendado;1.41;4.03;kg
carrefour-es;la despensa aperitivos frutos secos;Nuez cascara Carrefour granel 500 g aprox;2.9;5.8;g
carrefour-es;bebidas sidra achampanada;Sidra ecológica Maeloc achampanada extra botella 75 cl.;1.99;1.99;cl
mercadona-es;conservas caldos y cremas conservas de verdura y frutas;Judías verdes redondas Ybarra;0.9;2.5;kg
mercadona-es;charcuteria y quesos pate y sobrasada;Bloc foie gras de pato Hacendado;3.95;39.5;kg
mercadona-es;panaderia y pasteleria velas y decoracion;Vela de cumpleaños 4 Hacendado;0.75;0.75;ud
mercadona-es;cuidado facial y corporal gel y jabon de manos;Envase rellenable Deliplus;0.7;0.7;ud
carrefour-es;el mercado verduras y hortalizas hortalizas;Jengibre Carrefour 100 g aprox;0.4;3.99;g
carrefour-es;parafarmacia cuidado de manos y pies desodorante pies;Desodorante para calzado y pies en polvo Express Peusek 150 g.;9.85;6.57;g
carrefour-es;la despensa conservas sopas y precocinados croquetas y rebozados;Varitas de merluza empanada Carrefour 450 g.;2.25;5.0;g
mercadona-es;arroz legumbres y pasta pasta y fideos;Fideos orientales Yakisoba de pollo Gallina Blanca;1.59;17.1;kg
mercadona-es;azucar caramelos y chocolate golosinas;Carbón dulce Hacendado;1.5;15.0;kg
carrefour-es;el mercado panaderia bolleria y pasteleria bolleria tradicional;Mini croissants Tonitos 18 ud;6.99;39.75;ud
carrefour-es;perfumeria e higiene bano e higiene corporal perfumeria para regalar;Cesta de tela Monkey Vainilla: gel 200ml, loción 200ml, exfoliante 50ml y vela;16.5;16.5;ml
carrefour-es;la despensa dulce y desayuno chocolates turrones y bombones;Bombones de chocolate con leche y surtidos Lindt Lindor pack de 2 unidades de 200 g.;8.88;14.8;g
mercadona-es;fitoterapia y parafarmacia fitoterapia;Barrita almendras y chocolate Enervit Sport;2.2;24.44;kg
mercadona-es;bodega cerveza;Cerveza Amstel;1.22;1.22;l
dia-es;perfumeria e higiene cuidado facial hidratantes y nutritivas;GARNIER BB cream perfeccionador tono claro pieles mixtas a grasas tubo 40 ml;10.95;273.75;ml
mercadona-es;maquillaje colorete y polvos;Polvo suelto traslúcido Deliplus 01;6.0;120.0;g
carrefour-es;bebidas alcoholes todos los alcoholes;Ruavieja Licor De Hierbas Hierbas;8.95;12.79;l
carrefour-es;limpieza y hogar productos para toda la casa limpiacristales y multiusos;Limpiahogar Cif 750 ml.;2.4;3.2;ml
carrefour-es;el mercado quesos todos los quesos;Mini quesitos Babybel pack de 12 unidades de 20 g.;3.99;16.62;g
carrefour-es;bebidas vinos tinto;Vino D.O. Rioja tinto ecológico Beronia 75 cl.;8.5;8.5;cl
mercadona-es;cuidado del cabello peines y accesorios;Rulo 28 mm Deliplus;2.75;0.46;mm
carrefour-es;la despensa helados barquillos;Conos de barquillo Carrefour 110 g.;1.47;13.36;g
